id_vehicule,marque,modele,annee_circulation,date_circulation,carburant,usage,km_actuel,km_moyen_annuel,date_derniere_revision,km_derniere_revision,jours_depuis_derniere_revision,km_depuis_derniere_revision,nb_revisions_effectuees,intervalle_recommande_jours,intervalle_recommande_km,condition_vehicule,nb_pannes_historique,age_vehicule,taux_utilisation_km,taux_utilisation_jours,revisions_par_an
VEH00001,Nissan,Micra,2010,2010-12-09,Hybride,Professionnel,224993,16024,2025-09-20,219635,81,5358,10,328,12000,5,0,14,44.65,24.7,0.71
VEH00002,Volkswagen,Polo,2018,2018-10-01,Hybride,Personnel,158597,26390,2024-11-29,135302,376,23295,5,365,15000,8,1,6,155.3,103.01,0.83
VEH00003,Kia,Ceed,2021,2021-07-11,Essence,Personnel,50862,17105,2025-08-12,37833,120,13029,2,365,15000,8,0,3,86.86,32.88,0.67
VEH00004,Renault,Talisman,2017,2017-09-04,Hybride,Personnel,141112,20403,2025-02-21,129506,292,11606,8,365,15000,6,0,7,77.37,80.0,1.14
VEH00005,Volkswagen,Arteon,2014,2014-02-28,Diesel,Professionnel,154934,15628,2025-05-20,143826,204,11108,7,328,16000,6,0,10,69.42,62.2,0.7
VEH00006,Hyundai,i20,2019,2019-11-06,Diesel,Flotte,128520,25502,2025-09-08,111373,93,17147,5,310,14000,9,0,5,122.48,30.0,1.0
VEH00007,Seat,Ibiza,2013,2013-01-26,Essence,Flotte,205268,18336,2025-07-16,201100,147,4168,13,310,10500,7,1,11,39.7,47.42,1.18
VEH00008,Skoda,Karoq,2012,2012-05-05,Hybride,Personnel,199169,16081,2025-02-28,188560,285,10609,12,365,15000,6,1,12,70.73,78.08,1.0
VEH00009,Citroën,C3 Aircross,2017,2017-02-25,Essence,Professionnel,65597,9543,2025-09-13,43037,88,22560,7,328,12000,8,2,7,188.0,26.83,1.0
VEH00010,Toyota,Aygo,2014,2014-09-28,Hybride,Professionnel,82636,8376,2024-12-16,63041,359,19595,9,328,12000,5,0,10,163.29,109.45,0.9
VEH00011,Renault,Talisman,2024,2024-12-09,Électrique,Personnel,0,24403,2025-03-16,0,269,5486,1,730,30000,7,0,0,18.29,36.85,1.0
VEH00012,Kia,Ceed,2018,2018-09-01,Essence,Personnel,168066,27626,2025-03-25,165428,260,2638,7,365,15000,6,0,6,17.59,71.23,1.17
VEH00013,Opel,Corsa,2011,2011-12-16,Essence,Personnel,139198,10267,2024-11-03,133078,402,6120,13,365,15000,5,0,13,40.8,110.14,1.0
VEH00014,Audi,A4,2024,2024-09-25,Diesel,Personnel,2107,14591,2025-05-10,0,214,24009,1,365,20000,8,0,0,120.04,58.63,1.0
VEH00015,BMW,Série 1,2019,2019-09-08,Hybride,Personnel,137018,27282,2025-11-27,132692,13,4326,3,365,15000,8,0,5,28.84,3.56,0.6
VEH00016,Ford,Focus,2014,2014-11-16,Diesel,Personnel,156034,15020,2025-09-24,135323,77,20711,9,365,20000,6,0,10,103.56,21.1,0.9
VEH00017,Nissan,X-Trail,2015,2015-07-14,Électrique,Personnel,207614,23303,2024-12-21,184202,354,23412,8,730,30000,7,0,9,78.04,48.49,0.89
VEH00018,Volkswagen,Polo,2013,2013-09-15,Diesel,Professionnel,142435,12593,2025-08-29,131308,103,11127,8,328,16000,8,1,11,69.54,31.4,0.73
VEH00019,Peugeot,208,2020,2020-09-27,Essence,Personnel,32460,8483,2024-11-10,22715,395,9745,3,365,15000,6,0,4,64.97,108.22,0.75
VEH00020,Audi,A3,2016,2016-05-26,Électrique,Flotte,184945,22909,2025-04-28,160120,226,24825,8,620,21000,5,0,8,118.21,36.45,1.0
VEH00021,Mercedes,Classe C,2010,2010-10-24,Essence,Personnel,358722,25766,2024-11-13,346446,392,12276,14,365,15000,3,2,14,81.84,107.4,1.0
VEH00022,Ford,Fiesta,2023,2023-03-03,Diesel,Flotte,25611,27498,2024-12-20,15904,355,9707,1,310,14000,7,0,1,69.34,114.52,1.0
VEH00023,Peugeot,5008,2020,2020-10-19,Hybride,Personnel,102703,25130,2025-07-20,94010,143,8693,3,365,15000,9,0,4,57.95,39.18,0.75
VEH00024,Toyota,RAV4,2024,2024-02-01,Essence,Personnel,7177,23017,2025-02-15,1901,298,5276,1,365,15000,8,0,0,35.17,81.64,1.0
VEH00025,Skoda,Octavia,2015,2015-05-06,Diesel,Flotte,207122,22358,2024-12-05,195210,370,11912,9,310,14000,7,0,9,85.09,119.35,1.0
VEH00026,Mercedes,Classe B,2011,2011-03-09,Essence,Personnel,151919,11782,2024-11-15,131791,390,20128,10,365,15000,5,1,13,134.19,106.85,0.77
VEH00027,Seat,Arona,2018,2018-08-09,Hybride,Personnel,56496,9664,2025-01-10,40617,334,15879,5,365,15000,8,0,6,105.86,91.51,0.83
VEH00028,Citroën,C4 Cactus,2017,2017-09-23,Essence,Professionnel,160287,22014,2025-11-26,154622,14,5665,8,328,12000,9,3,7,47.21,4.27,1.14
VEH00029,Citroën,Berlingo,2012,2012-01-10,Hybride,Professionnel,237029,19948,2025-05-31,228146,193,8883,10,328,12000,5,0,12,74.02,58.84,0.83
VEH00030,Opel,Insignia,2012,2012-04-28,Essence,Flotte,159788,13324,2025-05-03,156976,221,2812,14,310,10500,6,1,12,26.78,71.29,1.17
VEH00031,Volkswagen,Tiguan,2012,2012-12-04,Essence,Professionnel,244054,20535,2024-09-17,226631,449,17423,11,328,12000,6,0,12,145.19,136.89,0.92
VEH00032,Volkswagen,Polo,2010,2010-11-07,Électrique,Personnel,297162,21056,2025-07-11,292888,152,4274,15,730,30000,7,0,14,14.25,20.82,1.07
VEH00033,Renault,Clio,2024,2024-05-06,Diesel,Personnel,1349,27024,2025-11-11,0,29,5552,1,365,20000,10,0,0,27.76,7.95,1.0
VEH00034,Peugeot,5008,2024,2024-10-07,Essence,Flotte,0,16346,2024-12-03,0,372,16288,1,310,10500,8,0,0,155.12,120.0,1.0
VEH00035,Nissan,Qashqai,2015,2015-07-03,Hybride,Personnel,270294,29765,2025-01-15,258008,329,12286,11,365,15000,6,0,9,81.91,90.14,1.22
VEH00036,Hyundai,Tucson,2018,2018-03-07,Hybride,Personnel,138556,21777,2025-05-20,114362,204,24194,6,365,15000,7,1,6,161.29,55.89,1.0
VEH00037,Mercedes,GLA,2013,2013-07-26,Diesel,Personnel,303983,27004,2024-12-30,291424,345,12559,9,365,20000,6,1,11,62.8,94.52,0.82
VEH00038,Kia,Ceed,2020,2020-02-10,Essence,Professionnel,107436,24890,2025-01-10,85145,334,22291,4,328,12000,6,0,4,185.76,101.83,1.0
VEH00039,Volkswagen,Polo,2010,2010-01-08,Diesel,Professionnel,336981,23569,2024-09-21,332595,445,4386,14,328,16000,3,1,14,27.41,135.67,1.0
VEH00040,Audi,A4,2012,2012-11-23,Essence,Professionnel,96918,8181,2024-10-28,80987,408,15931,13,328,12000,7,4,12,132.76,124.39,1.08
VEH00041,Peugeot,5008,2012,2012-08-22,Électrique,Professionnel,311005,25404,2025-01-30,298608,314,12397,12,657,24000,4,1,12,51.65,47.79,1.0
VEH00042,Seat,Tarraco,2017,2017-03-24,Hybride,Personnel,169251,23554,2025-07-21,159150,142,10101,8,365,15000,9,0,7,67.34,38.9,1.14
